Date,Vocabulary_Adjectives,Vocabulary_Other,Vocabulary_Modals,Vocabulary_Question_words,Vocabulary_Connectives_conjunctions,Vocabulary_Verbs_stems,Vocabulary_Comparisons,Assessment,Vocabulary_Nouns,Vocabulary_Prepositions,Curriculum_design,Vocabulary_Pronouns,Vocabulary_Adverbs,Grammar_Verb_inflections,Type_of_practice_Reading,Teaching_Methods_Processing_Instruction,Type_of_practice_Speaking,Type_of_practice_Listening,Type_of_practice_Writing,Autonomy_independence,Phonics_Other,Testing,Phonics_Applying_sound_symbol,Type_of_practice_Speaking_interaction,Phonics_Consolidating_sound_symbol,Phonics_sound_symbol_combinations,Grammar_Connectives_conjunctions,Grammar_Noun_inflections,Grammar_Prepositions,Grammar_Adverbs,Grammar_Adjectives,Grammar_Syntax,Grammar_Articles,Grammar_Comparisons,Grammar_Other,Teaching_Methods_Task_Based_Language_Teaching,Phonics_Introducing_new_sound_symbol,Phonics_Isolated_sound_symbol,Phonics_sound_symbol_combinations_in_words,Interaction,Type_of_practice_Reading_fact,Type_of_practice_Speaking_narrative,Other,Phonics_Awareness,Language_awareness,Motivation,Type_of_practice_Writing_interaction,Type_of_practice_Reading_fiction,Type_of_practice_Writing_factual,Type_of_practice_Listening_authentic_language,Type_of_practice_Reading_poetry,Type_of_practice_Listening_songs,Type_of_practice_Writing_creative,Pronunciation,Figurative_language,Multilingualism,Visits_abroad
2019-05-12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-16,3,3,3,4,3,4,3,3,3,3,3,3,3,6,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-19,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20,0,1,0,0,0,2,0,1,1,0,1,0,0,4,4,2,4,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-21,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-22,0,0,0,0,0,0,0,0,2,0,1,0,0,3,4,2,2,4,2,0,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-23,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-24,0,1,0,3,0,2,0,3,0,0,3,0,0,6,7,2,6,6,2,1,0,0,2,2,2,1,0,0,0,0,0,2,0,0,2,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-25,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-26,0,1,0,1,0,4,0,1,0,0,3,0,0,4,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-27,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-29,0,1,0,3,0,0,0,4,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,3,3,3,4,3,3,3,0,3,3,5,4,3,2,3,3,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,0,1,0,1,0,3,0,1,0,0,1,1,0,5,4,3,3,4,3,0,0,0,3,2,4,3,0,0,0,0,0,3,0,0,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,0,1,0,6,0,8,0,1,0,0,1,0,0,25,17,16,15,16,14,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04,0,1,0,2,0,5,0,0,0,0,2,0,0,10,6,3,5,6,3,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05,0,1,0,2,0,4,0,0,0,0,4,0,0,11,11,8,7,13,13,0,0,0,4,6,4,6,0,0,0,0,0,4,0,0,2,11,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06,2,3,2,2,2,5,2,0,2,2,6,2,2,4,3,3,3,2,2,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07,6,6,5,7,5,10,5,1,8,6,19,5,6,17,20,17,19,22,20,0,0,0,3,19,6,7,0,1,0,0,1,12,1,0,10,20,0,0,4,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-08,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,2,1,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,1,3,1,1,1,3,1,1,2,1,2,1,1,13,12,11,12,11,11,0,2,0,3,2,4,4,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,1,7,1,8,1,12,1,0,1,1,10,1,1,11,12,10,9,12,12,0,2,0,4,8,8,11,1,1,1,1,1,2,1,1,3,11,0,3,4,1,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,0,6,0,0,0,2,0,1,0,0,4,0,0,2,2,7,2,2,2,1,6,0,1,2,3,3,0,0,0,0,0,0,0,0,5,7,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-13,2,3,2,11,2,6,2,1,2,2,5,2,2,15,14,10,11,14,14,0,3,0,7,8,7,8,2,2,2,2,2,6,2,2,2,12,3,3,4,7,0,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0
2019-06-14,2,5,2,4,2,2,2,0,2,2,5,3,2,5,12,10,9,11,9,0,2,0,3,3,5,5,0,0,0,0,0,2,0,0,3,10,2,2,3,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-15,4,8,4,7,4,7,4,5,5,4,10,4,4,4,16,7,15,14,12,2,4,2,6,8,5,6,0,0,0,0,0,0,0,0,0,6,6,7,7,6,0,0,1,3,1,1,5,0,0,0,0,0,0,0,0,0,0
2019-06-16,1,1,1,2,1,6,1,2,1,1,2,1,1,5,3,1,2,2,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-17,4,14,4,9,4,17,4,2,4,4,13,5,4,23,28,17,23,27,22,1,3,1,11,10,13,14,0,0,0,0,0,4,0,0,2,16,5,5,11,4,1,5,0,2,0,0,2,1,1,1,1,1,1,0,0,0,0
2019-06-18,4,7,3,6,3,8,3,0,4,3,14,3,4,12,22,15,21,22,17,0,0,0,6,14,14,14,1,1,1,1,1,4,1,1,1,20,4,2,12,5,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-19,7,9,7,8,7,12,7,1,8,7,15,8,7,8,15,8,10,13,10,0,3,0,9,6,8,11,0,0,0,0,0,3,0,0,0,6,8,8,8,4,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-20,12,13,11,14,11,21,11,0,12,11,23,11,12,18,17,11,15,17,10,0,0,0,3,6,4,3,3,3,3,3,3,4,3,3,3,10,7,7,7,4,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-21,6,11,6,9,6,9,6,1,6,6,14,6,6,8,11,4,13,14,7,1,0,0,4,5,4,4,0,0,0,0,0,4,0,0,1,6,10,8,8,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-22,2,2,2,2,2,2,2,0,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,2,2,2,2,2,7,2,0,2,2,6,3,2,7,5,5,5,5,4,0,1,0,4,2,5,3,0,0,0,0,0,4,0,0,2,5,6,6,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-24,2,8,2,7,2,7,2,5,2,2,12,2,2,10,17,12,14,14,11,1,4,0,9,8,11,9,0,0,0,0,0,3,1,0,1,11,6,6,11,6,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
2019-06-25,14,15,12,18,13,17,12,2,16,13,15,13,14,12,15,10,16,20,14,1,1,0,4,9,6,5,0,2,0,0,0,4,1,0,0,9,5,5,7,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-26,7,7,6,6,6,12,6,0,7,6,9,7,7,7,6,4,3,5,5,0,1,0,3,3,5,6,0,0,0,0,0,1,0,0,1,4,3,3,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,3,6,2,3,3,5,2,0,3,2,11,3,3,7,10,6,10,8,7,0,0,0,3,3,5,5,1,1,1,1,1,1,1,1,1,4,4,4,6,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
2019-06-28,1,3,0,3,1,4,0,4,1,0,9,1,1,3,10,5,9,10,11,2,3,0,6,4,10,10,0,0,0,0,0,1,0,0,0,6,2,2,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,3,4,3,4,3,7,3,1,3,3,4,3,3,3,4,0,2,4,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,4,6,1,3,1,6,1,5,6,1,5,1,4,7,10,4,10,11,6,4,3,0,5,6,5,5,0,2,0,0,0,1,0,0,0,3,5,5,7,1,1,1,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0
2019-07-02,3,4,3,5,3,6,3,1,4,3,8,3,3,7,7,4,8,9,5,1,2,0,1,3,1,1,2,2,2,2,2,3,2,2,3,5,6,5,3,3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,8,13,5,10,8,9,5,3,8,7,14,8,8,0,12,4,12,12,10,1,3,0,6,0,6,4,0,0,0,0,0,4,1,0,1,1,6,6,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
2019-07-04,6,7,3,6,4,11,3,2,6,3,7,5,6,6,8,1,8,10,6,2,3,0,6,3,6,6,0,0,0,0,0,2,0,0,0,4,8,8,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-07-05,2,7,2,3,2,10,2,2,2,2,6,2,2,6,2,1,2,3,2,2,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,4,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06,2,1,1,1,1,3,1,0,2,1,1,1,2,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,16,20,8,19,13,27,7,2,18,10,27,16,16,19,26,13,25,24,21,1,2,0,7,4,7,6,12,12,12,12,12,16,12,12,12,18,4,4,6,2,1,0,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,18,24,13,26,18,39,13,9,21,16,40,18,19,43,50,39,50,52,48,4,9,0,13,11,13,12,11,11,11,11,11,24,24,11,16,30,14,14,14,3,0,2,0,11,11,0,0,0,0,0,0,0,0,1,0,0,0
2019-07-09,13,24,9,14,11,31,9,12,16,9,21,11,15,17,27,7,24,25,11,6,2,0,10,6,10,11,3,3,3,3,3,7,4,3,3,14,24,21,21,3,0,0,3,9,3,0,1,0,0,0,0,0,0,0,0,0,0
2019-07-10,8,13,5,14,7,27,5,4,15,6,15,7,9,16,20,6,19,25,10,3,3,0,10,14,14,7,1,2,1,1,2,5,2,1,1,13,29,29,19,7,0,0,2,20,0,0,1,0,0,0,0,0,0,2,0,0,0
2019-07-11,11,13,6,11,9,15,6,10,11,8,7,11,11,4,11,0,10,11,8,6,2,0,6,1,18,7,0,0,0,0,0,0,0,0,0,1,18,18,6,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,5,5,3,8,5,14,3,3,5,5,8,5,5,7,9,1,9,5,4,1,6,0,8,1,14,4,0,0,0,0,0,0,0,0,0,1,16,16,7,1,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-07-13,0,2,0,0,0,1,0,1,0,0,8,0,0,2,5,2,5,5,3,0,1,0,2,0,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,6,8,5,6,5,10,5,2,6,5,5,6,6,5,8,2,6,5,3,0,0,1,3,0,2,2,0,0,0,0,0,1,0,0,0,0,3,3,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,1,1,1,2,1,2,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,14,17,4,17,8,21,4,2,14,7,19,14,14,8,17,2,16,16,13,1,9,1,11,0,19,11,0,0,0,0,0,0,0,0,0,1,26,26,10,0,1,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,9,9,3,8,8,18,3,2,9,7,11,8,9,7,14,5,14,14,11,1,2,0,2,1,10,2,0,0,0,0,0,4,0,0,0,1,18,18,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,4,3,3,4,4,12,2,1,4,3,8,4,4,4,2,1,3,2,3,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,5,5,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,2,2,2,2,2,4,2,1,2,2,4,2,2,4,3,3,3,3,3,1,0,0,0,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,3,3,2,3,2,6,2,0,3,2,4,2,3,3,3,0,3,1,0,0,3,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23,3,5,3,3,3,5,3,1,3,3,5,3,3,2,2,0,2,0,0,1,2,0,4,0,6,4,1,1,1,1,1,1,1,1,1,0,7,7,3,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,1,2,1,1,1,3,1,1,1,1,3,1,1,1,2,0,2,2,1,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,3,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,2,2,1,2,2,3,1,0,2,1,4,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,17,18,17,17,17,17,17,0,17,17,17,17,17,2,3,2,0,2,2,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,4,5,4,4,4,8,4,2,4,4,3,4,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,1,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,3,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-07-31,4,4,4,4,4,6,4,4,5,4,5,4,4,1,1,0,1,1,1,0,0,0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,3,3,2,3,3,7,2,0,3,2,6,3,3,3,1,0,1,1,1,0,3,0,3,0,6,3,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-05,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-06,2,2,2,2,2,3,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-07,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-08,1,2,0,2,1,1,0,0,1,0,2,2,1,0,2,1,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-09,0,0,0,1,0,1,0,0,0,0,4,0,0,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-12,15,18,15,15,15,18,15,15,16,15,0,15,16,2,3,0,3,3,1,15,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,2,4,4,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-08-13,3,3,2,4,3,4,2,1,3,3,4,3,3,1,4,0,5,4,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-14,2,2,2,2,2,3,2,0,2,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-15,3,2,1,3,1,5,1,1,3,1,1,2,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-16,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-17,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
